roc_auc,precision,recall,f1,brier_score,oos_accuracy,model,fold
,0.0,0.0,0.0,0.009683767333626747,0.9875861662293245,xgboost,0
0.6386564615437407,0.0,0.0,0.0,0.001783960615284741,0.9978384195032015,xgboost,1
0.556315736898775,0.0,0.0,0.0,0.002187778241932392,0.9973534419625458,xgboost,2
0.6829259754493615,0.0,0.0,0.0,0.0012272871099412441,0.9987608907425405,xgboost,3
0.7721089164764645,0.002228186559983795,0.20754716981132076,0.0044090385289844184,0.016773588955402374,0.9761422651461078,xgboost,4
0.972475371377604,0.0005205923183711244,0.14285714285714285,0.0010374041841968763,0.008110334165394306,0.9895427983285853,xgboost,5
0.9603665881886472,0.0,0.0,0.0,0.013619286939501762,0.9822372707878976,xgboost,6
0.8874286481452673,0.0009671539634713387,0.20634920634920634,0.0019252841645377467,0.012623640708625317,0.9839163605403416,xgboost,7
0.9226350820066407,0.0019065776930409914,0.06334841628959276,0.0037017451084082496,0.006663165055215359,0.9910545770510018,xgboost,8
0.9044882246157888,0.0028390334081605704,0.33076923076923076,0.005629746006808065,0.01286302786320448,0.9826474368127945,xgboost,9
0.9575069870914521,0.0031601449948880007,0.3344262295081967,0.006261125774967773,0.013489125296473503,0.9820599228939054,xgboost,10
0.9844635667810031,0.0033797945923286525,0.7456647398843931,0.006729088964815733,0.014967886731028557,0.9790039342469137,xgboost,11
0.9856085232871064,0.012892509689156055,0.6950959488272921,0.025315472723742963,0.01051991619169712,0.9861617808707003,xgboost,12
0.9170672675909708,0.006570934034232963,0.5394736842105263,0.012983722845018683,0.012823501601815224,0.9832137702234,xgboost,13
0.9916612115431759,0.010903351141330743,0.9144602851323829,0.021549758825082192,0.015843555331230164,0.9785335892756922,xgboost,14
0.9795423483276927,0.008576720330531414,0.5198618307426598,0.016875035039524585,0.013445748947560787,0.9818855138859477,xgboost,15
0.9759018144702674,0.012302213589089879,0.5477477477477477,0.024063959471226155,0.008784581907093525,0.9886718635147452,xgboost,16
0.9860703275326532,0.009460667461263408,0.5644444444444444,0.018609421935672943,0.008469921536743641,0.9887684587801598,xgboost,17
0.9961243582927836,0.012566652255368209,0.960352422907489,0.024808671654954623,0.011099973693490028,0.9854170956548671,xgboost,18
0.9570270705232576,0.013507935912348504,0.4945054945054945,0.026297527301946746,0.008835408836603165,0.9888780743411388,xgboost,19
