roc_auc,precision,recall,f1,brier_score,oos_accuracy,model,fold
0.8841819728978118,0.004919965537568584,0.3219584569732938,0.009691826708351944,0.0184151753783226,0.9738502815697143,xgboost,0
0.8614618387761397,0.004670815674595599,0.4860927152317881,0.009252722872125857,0.030828161165118217,0.9537344069811045,xgboost,1
0.8981263139344831,0.006386409383595569,0.7222884386174017,0.01266087247200401,0.041593145579099655,0.9456685318271023,xgboost,2
0.9036744545874448,0.008349251340193481,0.5166825548141086,0.01643295687106799,0.0278957299888134,0.9629517752381431,xgboost,3
0.9518726133265739,0.007883637510347274,0.7001166861143524,0.015591705212826776,0.03325069323182106,0.9545177036014723,xgboost,4
0.9521511531559177,0.0032695540052036566,0.6666666666666666,0.006507194574282834,0.03984333574771881,0.9476808094995047,xgboost,5
0.9827168962465562,0.004761008448021967,0.9772727272727273,0.009475853102240047,0.04017692431807518,0.9465053243557663,xgboost,6
0.839250222785922,0.0026131855676594672,0.40389294403892945,0.0051927739110033625,0.026140954345464706,0.9620518707366303,xgboost,7
0.9444828509359942,0.006982560967136803,0.3111455108359133,0.013658602881217723,0.012076073326170444,0.9827703272154047,xgboost,8
0.9617396420944513,0.009142397148032085,0.5802919708029197,0.018001188757748154,0.01472634356468916,0.9801827788090818,xgboost,9
0.9644605878314514,0.011425537017369557,0.69916142557652,0.022483651318007145,0.02272780053317547,0.9678643340540097,xgboost,10
0.9623959820254249,0.01591920575145498,0.6260284218399401,0.03104887322637485,0.021392524242401123,0.9711982913371587,xgboost,11
0.9714512980743338,0.013640639698965193,0.7441860465116279,0.026790225032116515,0.026298191398382187,0.9628325599189431,xgboost,12
0.9911428429383924,0.01206390212397792,0.9772951628825272,0.023833598151090568,0.03243153542280197,0.9563239190848575,xgboost,13
0.9762676433945788,0.00919989904088844,0.7706131078224101,0.018182725163993715,0.03060965985059738,0.9585508158952419,xgboost,14
0.897654799788872,0.00926610556123653,0.7474619289340102,0.018305284912902273,0.023258725181221962,0.9673704761560432,xgboost,15
0.9595424691990226,0.008307514214701576,0.6648501362397821,0.016409980496334655,0.017956161871552467,0.9731245038369939,xgboost,16
0.9616323040107165,0.006647620374886767,0.5605170387779084,0.013139409966118502,0.020593684166669846,0.9699603437296012,xgboost,17
0.9840894665445652,0.0071035984652079226,0.8070692194403535,0.014083240173213574,0.022724345326423645,0.9673570469501704,xgboost,18
0.9892124633707737,0.007479946132677558,0.9190647482014388,0.014839121849227553,0.020613493397831917,0.9716935122865176,xgboost,19
