strategy,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,var_05,skewness,avg_daily_turnover,avg_gross_exposure,avg_net_exposure,avg_transaction_cost,n_long_positions_total,n_short_positions_total,n_rebalance_dates,avg_long_per_rebal,avg_short_per_rebal
Composite-20 (a=0.75),0.017156968803837325,0.1946099736644093,0.18574644387432682,0.1884179266168992,0.7020452298306211,-0.024438551926314916,-0.01897713,-1.1175600995410568,0.07286412254060479,1.3291958272811304,-2.0341138870558626e-19,7.286412254060479e-05,4800,4800,240,20.0,20.0
Asym-5L/20S,0.057683361070410166,0.21931726081766978,0.36591484496160803,0.40193043255171346,0.63666770759418,-0.09060198967587385,-0.02061936,-0.3967128300937723,0.0809718737620494,1.3291958272811304,2.5246835154926683e-17,8.097187376204938e-05,1200,4800,240,5.0,20.0
Asym-5L/30S,0.05512910845671071,0.2091695411523742,0.36168606207569864,0.3968289898255539,0.6062950155152195,-0.09092786027584757,-0.01951600666666667,-0.4371180934930056,0.07819886438663673,1.3291958272811304,5.866311148867773e-17,7.819886438663673e-05,1200,7200,240,5.0,30.0
Asym-10L/30S,0.0398695727060816,0.1899586373730373,0.30152611687767955,0.3134501597450683,0.6249599906545684,-0.06379540018925556,-0.01828173333333333,-0.8343920976251613,0.07381486861217483,1.3291958272811304,6.668778239986477e-17,7.381486861217483e-05,2400,7200,240,10.0,30.0
Asym-10L/50S,0.03701301591228989,0.17739587669856852,0.294157692557582,0.30834373016678246,0.5841337271328412,-0.06336394252385388,-0.016808556,-0.7635720731922672,0.07020203354020864,1.3287574277036842,0.000438399577446195,7.020203354020865e-05,2400,12000,240,10.0,50.0
VolScaled-10 (g=0.0),0.04984298853683189,0.20870824893068857,0.3380686578117606,0.3582818325914031,0.6166834958504266,-0.08082426215752181,-0.02005944313116156,-0.6140439387185364,0.083798592764808,1.3291958272811304,1.9324081927030696e-18,8.379859276480798e-05,2400,2400,240,10.0,10.0
VolScaled-10 (g=0.3),0.050100852535815754,0.2087867667611526,0.3391955718162511,0.3594783523081169,0.6143288792398081,-0.0815537967184813,-0.02007607307683254,-0.6122921021031952,0.08376938819756034,1.3291958272811304,-2.3538912503813113e-18,8.376938819756034e-05,2400,2400,240,10.0,10.0
VolScaled-10 (g=0.5),0.050262049301247114,0.2088526608871667,0.33988900044282383,0.36023627386511636,0.6128214687171879,-0.08201744205610173,-0.020099713836108115,-0.6111113943141168,0.08376350758290878,1.3291958272811304,7.412604210036904e-19,8.376350758290875e-05,2400,2400,240,10.0,10.0
VolScaled-20 (g=0.0),0.014203251855534615,0.17064267466939387,0.16873192576389856,0.17180450817996726,0.5760742515995555,-0.024655245076649724,-0.016700754197041166,-1.1090576212881151,0.07576088370857276,1.3289712724870295,0.00022455479410059744,7.576088370857274e-05,4800,4800,240,20.0,20.0
VolScaled-20 (g=0.3),0.014489473717862245,0.1707023855954336,0.17038591213771198,0.17347858292115273,0.5744127962304997,-0.025224844942430436,-0.01671024178808957,-1.1082741262147957,0.07567932676104075,1.3289736238108216,0.0002222034703086589,7.567932676104076e-05,4800,4800,240,20.0,20.0
VolScaled-20 (g=0.5),0.014661887870675683,0.17076504661057568,0.17138134773092742,0.17451327020716986,0.5732964023977025,-0.025574707619575393,-0.016686081263280406,-1.1072284016362401,0.07565869220949528,1.3289751901832465,0.00022063709788383478,7.565869220949529e-05,4800,4800,240,20.0,20.0
MomFilter-10,0.038172533122787344,0.23623983204301782,0.27774885441673125,0.28386167246501975,0.6940745379120506,-0.054997743092002546,-0.02283602,-0.7633852524379483,0.09491614947841014,1.3291958272811304,-2.1623913393927186e-19,9.491614947841016e-05,2400,2400,240,10.0,10.0
MomFilter-20,0.03927745295871743,0.19744457430312315,0.2948685276391116,0.2958692177113729,0.6579090190605271,-0.05970043246223371,-0.018861130000000004,-1.0764538687061964,0.08896078172454774,1.3291958272811304,1.8728508041181003e-18,8.896078172454774e-05,4800,4800,240,20.0,20.0
