factor,coefficient,t_stat,p_value
Alpha (annualised),-0.010085571274398963,-1.0055310612826658,0.314641200536362
MKT_RF,0.15819785017426433,9.457696785857646,3.1480061179860017e-21
SMB,-0.08004204301721225,-5.5395642979075514,3.0322510235177185e-08
HML,0.019417018614495005,1.2347669184809302,0.21691726263375033
MOM,0.21427075223002662,15.054901305038074,3.205774396694321e-51
R-squared,0.37424408943440357,,
